virus tax id	virus name	virus lineage	refseq id	KEGG GENOME	KEGG DISEASE	DISEASE	host tax id	host name	host lineage	pmid	evidence	sample type	source organism
1168547	Acartia tonsa copepod circovirus	Viruses; Circoviridae; Circovirus; unclassified Circovirus	NC_020099				136180	Acartia tonsa	Eukaryota; Metazoa; Arthropoda; Crustacea; Multicrustacea; Hexanauplia; Copepoda; Neocopepoda; Gymnoplea; Calanoida; Acartiidae; Acartia		NCBI Virus, RefSeq		
185639	Acheta domestica densovirus	Viruses; Parvoviridae; Densovirinae; Ambidensovirus; Orthopteran ambidensovirus 1	NC_004290				6996	Acheta	Eukaryota; Metazoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Polyneoptera; Orthoptera; Ensifera; Gryllidea; Grylloidea; Gryllidae; Gryllinae				
185639	Acheta domestica densovirus	Viruses; Parvoviridae; Densovirinae; Ambidensovirus; Orthopteran ambidensovirus 1	NC_004290				6997	Acheta domesticus	Eukaryota; Metazoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Polyneoptera; Orthoptera; Ensifera; Gryllidea; Grylloidea; Gryllidae; Gryllinae; Acheta	21775445	Literature		
1404345	Acheta domestica mini ambidensovirus	Viruses; Parvoviridae; Densovirinae; Orthopteran densovirus 1	NC_022564				6994	Ensifera	Eukaryota; Metazoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Polyneoptera; Orthoptera		RefSeq		
1404345	Acheta domestica mini ambidensovirus	Viruses; Parvoviridae; Densovirinae; Orthopteran densovirus 1	NC_022564				6995	Gryllidae	Eukaryota; Metazoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Polyneoptera; Orthoptera; Ensifera; Gryllidea; Grylloidea		RefSeq		
1291515	Acheta domesticus volvovirus	Viruses; unclassified viruses; unclassified DNA viruses; unclassified ssDNA viruses; Volvovirus	NC_021074				6997	Acheta domesticus	Eukaryota; Metazoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Polyneoptera; Orthoptera; Ensifera; Gryllidea; Grylloidea; Gryllidae; Gryllinae; Acheta		NCBI Virus, RefSeq		
1261100	Achimota virus 1	Viruses; Riboviria; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Paramyxoviridae; Rubulavirinae; Pararubulavirus; Achimota pararubulavirus 1	NC_025403				77214	Eidolon helvum	Eukaryota; Metazoa; Chordata; Craniata; Sarcopterygii; Mammalia; Laurasiatheria; Chiroptera; Megachiroptera; Pteropodidae; Pteropodinae; Eidolon		RefSeq		
1261101	Achimota virus 2	Viruses; Riboviria; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Paramyxoviridae; Rubulavirinae; Pararubulavirus; Achimota pararubulavirus 2	NC_025404				77214	Eidolon helvum	Eukaryota; Metazoa; Chordata; Craniata; Sarcopterygii; Mammalia; Laurasiatheria; Chiroptera; Megachiroptera; Pteropodidae; Pteropodinae; Eidolon		RefSeq		
46014	Acholeplasma virus L2	Viruses; Plasmaviridae; Plasmavirus	NC_001447				2148	Acholeplasma laidlawii	Bacteria; Tenericutes; Mollicutes; Acholeplasmatales; Acholeplasmataceae; Acholeplasma	3573152, 8163159	Literature, NCBI Virus, RefSeq		
1977403	Acholeplasma virus MV-L51	Viruses; Inoviridae; Plectrovirus; Acholeplasma virus L51	NC_001341				2148	Acholeplasma laidlawii	Bacteria; Tenericutes; Mollicutes; Acholeplasmatales; Acholeplasmataceae; Acholeplasma		RefSeq		
1589747	Achromobacter phage 83-24	Viruses; Caudovirales; Siphoviridae; Steinhofvirus; Achromobacter virus 83-24	NC_028834				85698	Achromobacter xylosoxidans	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	24466294	Literature, RefSeq		
1416009	Achromobacter phage JWAlpha	Viruses; Caudovirales; Podoviridae; Jwalphavirus; Achromobacter virus JWAlpha	NC_023556				85698	Achromobacter xylosoxidans	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter		RefSeq		
1416008	Achromobacter phage JWDelta	Viruses; Caudovirales; Podoviridae; Jwalphavirus; unclassified Jwalphavirus	KF787094				85698	Achromobacter xylosoxidans	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter		NCBI Virus, RefSeq		
1589748	Achromobacter phage JWF	Viruses; Caudovirales; Siphoviridae; unclassified Siphoviridae	NC_029075				85698	Achromobacter xylosoxidans	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter		NCBI Virus, RefSeq		
1589746	Achromobacter phage JWX	Viruses; Caudovirales; Siphoviridae; Steinhofvirus; Achromobacter virus JWX	NC_028768				85698	Achromobacter xylosoxidans	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	24466294	Literature, RefSeq		
1610509	Achromobacter phage phiAxp-1	Viruses; Caudovirales; Siphoviridae; unclassified Siphoviridae	NC_029033				85698	Achromobacter xylosoxidans	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	26908262	Literature, NCBI Virus, RefSeq		
1664246	Achromobacter phage phiAxp-2	Viruses; Caudovirales; Siphoviridae; unclassified Siphoviridae	NC_029106				85698	Achromobacter xylosoxidans	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter		NCBI Virus, RefSeq		
1664247	Achromobacter phage phiAxp-3	Viruses; Caudovirales; Podoviridae; Jwalphavirus; Achromobacter virus Axp3	NC_028908				85698	Achromobacter xylosoxidans	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter		RefSeq		
437444	Acidianus bottle-shaped virus	Viruses; Ampullaviridae; Ampullavirus	NC_009452				269667	Acidianus convivator	Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus		NCBI Virus, RefSeq, UniProt		
1732173	Acidianus bottle-shaped virus 2	Viruses; Ampullaviridae; Ampullavirus; unclassified Ampullavirus	NC_028938				2281	Sulfolobales	Archaea; Crenarchaeota; Thermoprotei	26439881	Literature, NCBI Virus, RefSeq		
1732174	Acidianus bottle-shaped virus 3	Viruses; Ampullaviridae; Ampullavirus; unclassified Ampullavirus	NC_028787				2281	Sulfolobales	Archaea; Crenarchaeota; Thermoprotei	26439881	Literature, NCBI Virus, RefSeq		
235266	Acidianus filamentous virus 1	Viruses; Ligamenvirales; Lipothrixviridae; Gammalipothrixvirus	NC_005830				12915	Acidianus infernus	Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus		NCBI Virus, RefSeq, UniProt		
235266	Acidianus filamentous virus 1	Viruses; Ligamenvirales; Lipothrixviridae; Gammalipothrixvirus	NC_005830				563177	Acidianus hospitalis	Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus		UniProt		
300186	Acidianus filamentous virus 2	Viruses; Ligamenvirales; Lipothrixviridae; Deltalipothrixvirus	NC_009884				314564	Acidianus pozzuoliensis	Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus		NCBI Virus, RefSeq		
300186	Acidianus filamentous virus 2	Viruses; Ligamenvirales; Lipothrixviridae; Deltalipothrixvirus	NC_009884				315458	Acidianus sp. F28	Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus		UniProt		
346881	Acidianus filamentous virus 3	Viruses; Ligamenvirales; Lipothrixviridae; Betalipothrixvirus	NC_010155				12914	Acidianus	Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae				
346882	Acidianus filamentous virus 6	Viruses; Ligamenvirales; Lipothrixviridae; Betalipothrixvirus	NC_010152				269667	Acidianus convivator	Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus		NCBI Virus, RefSeq		
346883	Acidianus filamentous virus 7	Viruses; Ligamenvirales; Lipothrixviridae; Betalipothrixvirus	NC_010153				269667	Acidianus convivator	Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus		NCBI Virus, RefSeq		
346884	Acidianus filamentous virus 8	Viruses; Ligamenvirales; Lipothrixviridae; Betalipothrixvirus	NC_010154				269667	Acidianus convivator	Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus		NCBI Virus, RefSeq		
512792	Acidianus filamentous virus 9	Viruses; Ligamenvirales; Lipothrixviridae; Betalipothrixvirus	NC_010537				518068	Acidianus uzoniensis	Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus		NCBI Virus, RefSeq		
309181	Acidianus rod-shaped virus 1	Viruses; Ligamenvirales; Rudiviridae; Rudivirus	NC_009965				315460	Acidianus sp. Acii26	Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus		NCBI Virus, RefSeq		
1732175	Acidianus rod-shaped virus 2	Viruses; Ligamenvirales; Rudiviridae; Rudivirus; unclassified Rudivirus	NC_029314				2281	Sulfolobales	Archaea; Crenarchaeota; Thermoprotei		NCBI Virus, RefSeq		
693629	Acidianus spindle-shaped virus 1	Viruses; Fuselloviridae; Betafusellovirus	NC_013585				41673	Acidianus brierleyi	Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus		NCBI Virus, RefSeq		
1797140	Acidianus tailed spindle virus	Viruses; Bicaudaviridae; unclassified Bicaudaviridae	NC_029316				12914	Acidianus	Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae		NCBI Virus		
1797140	Acidianus tailed spindle virus	Viruses; Bicaudaviridae; unclassified Bicaudaviridae	NC_029316				1872104	Acidianus sp.	Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus		RefSeq		
315953	Acidianus two-tailed virus	Viruses; Bicaudaviridae; Bicaudavirus	NC_007409				269667	Acidianus convivator	Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus		NCBI Virus, RefSeq, UniProt		
1229761	Acidithiobacillus phage AcaML1	Viruses; Caudovirales; Myoviridae; unclassified Myoviridae	JX507079				637389	Acidithiobacillus caldus ATCC 51756	Bacteria; Proteobacteria; Acidithiobacillia; Acidithiobacillales; Acidithiobacillaceae; Acidithiobacillus		NCBI Virus, RefSeq		
2010329	Acidovorax phage ACP17	Viruses; Caudovirales; Myoviridae; Busanvirus; Acidovorax virus ACP17	NC_041997				80869	Acidovorax citrulli	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Acidovorax		RefSeq		
889876	Acinetobacter phage AB1	Viruses; Caudovirales; Myoviridae; Obolenskvirus; Acinetobacter virus AB1	NC_042028				470	Acinetobacter baumannii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex		RefSeq		
1273713	Acinetobacter phage AB3	Viruses; Caudovirales; Podoviridae; Autographivirinae; Friunavirus; Acinetobacter virus AB3	NC_021337				470	Acinetobacter baumannii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex				
1235824	Acinetobacter phage Abp1	Viruses; Caudovirales; Podoviridae; Autographivirinae; Friunavirus; Acinetobacter virus Abp1	NC_021316				470	Acinetobacter baumannii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex		RefSeq		
2015804	Acinetobacter phage AbP2	Viruses; Caudovirales; Myoviridae; Obolenskvirus; Acinetobacter virus AbP2	NC_041998				470	Acinetobacter baumannii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex		RefSeq		
762660	Acinetobacter phage Ac42	Viruses; Caudovirales; Myoviridae; Tevenvirinae; unclassified Tevenvirinae	NC_014660				469	Acinetobacter	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae	21029436	Literature, NCBI Virus		
760732	Acinetobacter phage Acj61	Viruses; Caudovirales; Myoviridae; Tevenvirinae; unclassified Tevenvirinae	NC_014661				40214	Acinetobacter johnsonii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter	21029436	Literature, NCBI Virus, RefSeq		
760939	Acinetobacter phage Acj9	Viruses; Caudovirales; Myoviridae; Tevenvirinae; unclassified Tevenvirinae	NC_014663				40214	Acinetobacter johnsonii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter	21029436	Literature, NCBI Virus, RefSeq		
154784	Acinetobacter phage AP205	Viruses; Riboviria; Leviviridae; unclassified Leviviridae	NC_002700				70347	Acinetobacter genomosp. 16BJ	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter		NCBI Virus, RefSeq		
1187128	Acinetobacter phage AP22	Viruses; Caudovirales; Myoviridae; Obolenskvirus; Acinetobacter virus AP22	NC_017984				470	Acinetobacter baumannii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex		RefSeq		
1647373	Acinetobacter phage Fri1	Viruses; Caudovirales; Podoviridae; Autographivirinae; Friunavirus; Acinetobacter virus Fri1	NC_028848				470	Acinetobacter baumannii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex		RefSeq		
1243183	Acinetobacter phage IME-AB2	Viruses; Caudovirales; Myoviridae; Obolenskvirus; Acinetobacter virus AB2	NC_041857				470	Acinetobacter baumannii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex		RefSeq		
1735582	Acinetobacter phage IME200	Viruses; Caudovirales; Podoviridae; Autographivirinae; Friunavirus; Acinetobacter virus IME200	NC_028987				470	Acinetobacter baumannii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex		RefSeq		
1458669	Acinetobacter phage IMEAB3	Viruses; Caudovirales; Siphoviridae; Lokivirus; Acinetobacter virus IMEAB3	NC_023590				470	Acinetobacter baumannii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex		RefSeq		
1970374	Acinetobacter phage Loki	Viruses; Caudovirales; Siphoviridae; Lokivirus; Acinetobacter virus Loki	NC_042137				400667	Acinetobacter baumannii ATCC 17978	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex		RefSeq		
1792222	Acinetobacter phage LZ35	Viruses; Caudovirales; Myoviridae; Obolenskvirus; Acinetobacter virus LZ35	NC_031117				470	Acinetobacter baumannii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex		RefSeq		
1406779	Acinetobacter phage Petty	Viruses; Caudovirales; Podoviridae; Autographivirinae; Friunavirus; unclassified Friunavirus	NC_023570				470	Acinetobacter baumannii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex		NCBI Virus, RefSeq		
691318	Acinetobacter phage phiAB1	Viruses; Caudovirales; Podoviridae; Autographivirinae; Friunavirus; Acinetobacter virus phiAB1	NC_028675				470	Acinetobacter baumannii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex		RefSeq		
1698439	Acinetobacter phage phiAB6	Viruses; Caudovirales; Podoviridae; Autographivirinae; Friunavirus; unclassified Friunavirus	NC_031086				470	Acinetobacter baumannii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex		NCBI Virus, RefSeq		
1229760	Acinetobacter phage phiAC-1	Viruses; Caudovirales; Myoviridae; unclassified Myoviridae	NC_028995				487316	Acinetobacter soli	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter		NCBI Virus, RefSeq		
1406780	Acinetobacter phage Presley	Viruses; Caudovirales; Podoviridae; unclassified Podoviridae	NC_023581				470	Acinetobacter baumannii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex		RefSeq		
1406780	Acinetobacter phage Presley	Viruses; Caudovirales; Podoviridae; unclassified Podoviridae	NC_023581				1343071	Acinetobacter nosocomialis M2	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex		NCBI Virus		
1916127	Acinetobacter phage SH-Ab 15519	Viruses; Caudovirales; Podoviridae; Autographivirinae; Friunavirus; Acinetobacter virus SH-Ab 15519	NC_041905				470	Acinetobacter baumannii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex		RefSeq		
1481186	Acinetobacter phage vB_AbaM_Acibel004	Viruses; Caudovirales; Myoviridae; unclassified Myoviridae	NC_025462				470	Acinetobacter baumannii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex		NCBI Virus, RefSeq		
1837876	Acinetobacter phage vB_AbaM_ME3	Viruses; Caudovirales; Myoviridae; Metrivirus; Acinetobacter virus ME3	NC_041884				470	Acinetobacter baumannii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex		RefSeq		
1605379	Acinetobacter phage vB_AbaM_phiAbaA1	Viruses; Caudovirales; Myoviridae; unclassified Myoviridae	NC_031280				470	Acinetobacter baumannii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex		NCBI Virus, RefSeq		
1481187	Acinetobacter phage vB_AbaP_Acibel007	Viruses; Caudovirales; Podoviridae; Autographivirinae; Friunavirus; unclassified Friunavirus	NC_025457				470	Acinetobacter baumannii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex		NCBI Virus, RefSeq		
1932886	Acinetobacter phage vB_AbaP_AS11	Viruses; Caudovirales; Podoviridae; Autographivirinae; Friunavirus; unclassified Friunavirus	NC_041915				470	Acinetobacter baumannii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex		NCBI Virus, RefSeq		
1932885	Acinetobacter phage vB_AbaP_AS12	Viruses; Caudovirales; Podoviridae; Autographivirinae; Friunavirus; unclassified Friunavirus	NC_041914				470	Acinetobacter baumannii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex		NCBI Virus, RefSeq		
2016049	Acinetobacter phage vB_AbaP_B1	Viruses; Caudovirales; Podoviridae; Autographivirinae; Friunavirus; unclassified Friunavirus	NC_042003				470	Acinetobacter baumannii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex		NCBI Virus, RefSeq		
