Taxonomy ID	Definition	Taxonomy LINEAGE	Keywords	Disease	Comment	Reference
224325	Archaeoglobus fulgidus DSM 4304 (VC-16)	Archaea; Euryarchaeota; Archaeoglobi; Archaeoglobales; Archaeoglobaceae; Archaeoglobus	Dissimilatory sulfate reduction		Sulphur-metabolizing organism.; Grows organoheterotrophically using a variety of carbon and energy sources, but can grow lithoautotrophically on hydrogen, thiosulphate and carbon dioxide.; Growth occurs between 60 and 95 deg C, with optimum growth at 83 deg C.	AUTHORS:Klenk HP, Clayton RA, Tomb JF, White O, Nelson KE, Ketchum KA, Dodson RJ, Gwinn M, Hickey EK, Peterson JD, et al., TITLE:The complete genome sequence of the hyperthermophilic, sulphate-reducing archaeon Archaeoglobus fulgidus., JOURNAL:Nature 390:364-70 (1997)
224326	Borreliella burgdorferi B31 (Borrelia burgdorferi B31)	Bacteria; Spirochaetes; Spirochaetales; Borreliaceae; Borreliella	Human pathogen, Animal pathogen	Lyme borreliosis, Localized Scleroderma	Aetiologic agent of Lyme disease.; Isolated from ticks, Ixodes dammini, in New York in 1981.	AUTHORS:Fraser CM, Casjens S, Huang WM, Sutton GG, Clayton R, Lathigra R, White O, Ketchum KA, Dodson R, Hickey EK, et al., TITLE:Genomic sequence of a Lyme disease spirochaete, Borrelia burgdorferi., JOURNAL:Nature 390:580-6 (1997)
224324	Aquifex aeolicus VF5	Bacteria; Aquificae; Aquificales; Aquificaceae; Aquifex	Hydrogen oxidation		Thermophilic chemolithoautotroph.; Capable of growing on hydrogen, oxygen, carbon dioxide, and mineral salts.; Has not been shown to grow anaerobically with nitrate as an electron acceptor in the laboratory.; First observed at the turn of the century, growing at 89 deg C in the outflow of hot springs in Yellowstone National Park.	AUTHORS:Deckert G, Warren PV, Gaasterland T, Young WG, Lenox AL, Graham DE, Overbeek R, Snead MA, Keller M, Aujay M, et al., TITLE:The complete genome of the hyperthermophilic bacterium Aquifex aeolicus., JOURNAL:Nature 392:353-8 (1998)
70601	Pyrococcus horikoshii OT3	Archaea; Euryarchaeota; Thermococci; Thermococcales; Thermococcaceae; Pyrococcus			Hyper-thermophilic, anaerobic archaebacterium.; Isolated in 1992 from a hydrothermal vent at a depth of 1395 m in the Okinawa Trough in the Pacific Ocean.	AUTHORS:Kawarabayasi Y, Sawada M, Horikawa H, Haikawa Y, Hino Y, Yamamoto S, Sekine M, Baba S, Kosugi H, Hosoyama A, et al., TITLE:Complete sequence and gene organization of the genome of a hyper-thermophilic archaebacterium, Pyrococcus horikoshii OT3., JOURNAL:DNA Res 5:55-76 (1998)
83332	Mycobacterium tuberculosis H37Rv, laboratory strain	Bacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex	Human pathogen, Animal pathogen	Tuberculosis	Isolated from human lung in 1905 and passaged outside of the human host.	AUTHORS:Cole ST, Brosch R, Parkhill J, Garnier T, Churcher C, Harris D, Gordon SV, Eiglmeier K, Gas S, Barry CE 3rd, et al., TITLE:Deciphering the biology of Mycobacterium tuberculosis from the complete genome sequence., JOURNAL:Nature 393:537-44 (1998)
243276	Treponema pallidum subsp. pallidum Nichols	Bacteria; Spirochaetes; Spirochaetales; Spirochaetaceae; Treponema	Human pathogen	Syphilis	Originally isolated from the cerebrospinal fluid of a neurosyphilis patient in 1912.	AUTHORS:Fraser CM, Norris SJ, Weinstock GM, White O, Sutton GG, Dodson R, Gwinn M, Hickey EK, Clayton R, Ketchum KA, et al., TITLE:Complete genome sequence of Treponema pallidum, the syphilis spirochete., JOURNAL:Science 281:375-88 (1998)
272561	Chlamydia trachomatis D/UW-3/CX	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia	Human pathogen	Chlamydia infection	Isolated from the cervix of an asymptomatic female.; Opportunistic pathogen.	AUTHORS:Stephens RS, Kalman S, Lammel C, Fan J, Marathe R, Aravind L, Mitchell W, Olinger L, Tatusov RL, Zhao Q, et al., TITLE:Genome sequence of an obligate intracellular pathogen of humans: Chlamydia trachomatis., JOURNAL:Science 282:754-9 (1998)
272947	Rickettsia prowazekii Madrid E	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Rickettsiaceae; Rickettsieae; Rickettsia; typhus group	Human pathogen	Epidemic typhus	Originally isolated in Madrid from a patient who died in 1941 with epidemic typhus.	AUTHORS:Andersson SG, Zomorodipour A, Andersson JO, Sicheritz-Ponten T, Alsmark UC, Podowski RM, Naslund AK, Eriksson AS, Winkler HH, Kurland CG., TITLE:The genome sequence of Rickettsia prowazekii and the origin of mitochondria., JOURNAL:Nature 396:133-40 (1998)
6239	Caenorhabditis elegans (nematode)	Eukaryota; Metazoa; Ecdysozoa; Nematoda; Chromadorea; Rhabditida; Rhabditina; Rhabditomorpha; Rhabditoidea; Rhabditidae; Peloderinae; Caenorhabditis				AUTHORS:The C. elegans Sequencing Consortium., TITLE:Genome sequence of the nematode C. elegans: a platform for investigating biology., JOURNAL:Science 282:2012-8 (1998)
85963	Helicobacter pylori J99	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Helicobacteraceae; Helicobacter	Human pathogen	Helicobacter pylori infection, Peptic ulcer	Isolated in the USA from a patient with a duodenal ulcer.	AUTHORS:Alm RA, Ling LS, Moir DT, King BL, Brown ED, Doig PC, Smith DR, Noonan B, Guild BC, deJonge BL, et al., TITLE:Genomic-sequence comparison of two unrelated isolates of the human gastric pathogen Helicobacter pylori., JOURNAL:Nature 397:176-80 (1999)
115713	Chlamydia pneumoniae CWL029	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia	Human pathogen	Chlamydial pneumonia	Isolated from the throat swab of a pneumonia patient.	AUTHORS:Kalman S, Mitchell W, Marathe R, Lammel C, Fan J, Hyman RW, Olinger L, Grimwood J, Davis RW, Stephens RS., TITLE:Comparative genomes of Chlamydia pneumoniae and C. trachomatis., JOURNAL:Nat Genet 21:385-9 (1999)
243274	Thermotoga maritima MSB8	Bacteria; Thermotogae; Thermotogales; Thermotogaceae; Thermotoga			Non-spore-forming, rod-shaped bacterium.; Grows optimally temperature of 80 deg C.; Metabolizes many simple and complex carbohydrates including glucose, sucrose, starch, cellulose and xylan.; Isolated from geothermal heated marine sediment at Porto di Levante, Vulcano, Italy.	AUTHORS:Nelson KE, Clayton RA, Gill SR, Gwinn ML, Dodson RJ, Haft DH, Hickey EK, Peterson JD, Nelson WC, Ketchum KA, et al., TITLE:Evidence for lateral gene transfer between Archaea and bacteria from genome sequence of Thermotoga maritima., JOURNAL:Nature 399:323-9 (1999)
272557	Aeropyrum pernix K1	Archaea; Crenarchaeota; Thermoprotei; Desulfurococcales; Desulfurococcaceae; Aeropyrum			Aerobic hyper-thermophilic crenarchaeon.; Isolated in 1993 from coastal solfotaric thermal vent in Kodakara-jima Island in Kyusyu, Japan.	AUTHORS:Kawarabayasi Y, Hino Y, Horikawa H, Yamazaki S, Haikawa Y, Jin-no K, Takahashi M, Sekine M, Baba S, Ankai A, et al., TITLE:Complete genome sequence of an aerobic hyper-thermophilic crenarchaeon, Aeropyrum pernix K1., JOURNAL:DNA Res 6:83-101, 145-52 (1999)
272844	Pyrococcus abyssi GE5	Archaea; Euryarchaeota; Thermococci; Thermococcales; Thermococcaceae; Pyrococcus			Hyperthermophilic euryarchaeon.; Isolated from deep-sea hydrothermal vents in the SW Pacific and particularly the North Fiji Basin, at a depth of 2000 m.	AUTHORS:Cohen GN, Barbe V, Flament D, Galperin M, Heilig R, Lecompte O, Poch O, Prieur D, Querellou J, Ripp R, et al., TITLE:An integrated analysis of the genome of the hyperthermophilic archaeon Pyrococcus abyssi., JOURNAL:Mol Microbiol 47:1495-512 (2003)
243230	Deinococcus radiodurans R1	Bacteria; Deinococcus-Thermus; Deinococci; Deinococcales; Deinococcaceae; Deinococcus			Extremely resistant to a number of agents and conditions that damage DNA, including ionizing and ultraviolet (UV) radiation and hydrogen peroxide.; Originally identified as a contaminant of irradiated canned meat.	AUTHORS:White O, Eisen JA, Heidelberg JF, Hickey EK, Peterson JD, Dodson RJ, Haft DH, Gwinn ML, Nelson WC, Richardson DL, et al., TITLE:Genome sequence of the radioresistant bacterium Deinococcus radiodurans R1., JOURNAL:Science 286:1571-7 (1999)
192222	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Campylobacter	Human pathogen	Campylobacter infection	Microaerophilic, flagellate, spiral bacterium.; Leading cause of bacterial food-borne diarrhoeal disease throughout the world.; The most frequent antecedent to a form of neuromuscular paralysis known as Guillain-Barre syndrome.; Isolated from clinical sample in the UK in 1977.	AUTHORS:Parkhill J, Wren BW, Mungall K, Ketley JM, Churcher C, Basham D, Chillingworth T, Davies RM, Feltwell T, Holroyd S, et al., TITLE:The genome sequence of the food-borne pathogen Campylobacter jejuni reveals hypervariable sequences., JOURNAL:Nature 403:665-8 (2000)
122586	Neisseria meningitidis MC58 (serogroup B)	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae; Neisseria	Human pathogen	Meningococcal infection	Isolated from a patient with meningococcal meningitis in the Gloucester area of England.	AUTHORS:Tettelin H, Saunders NJ, Heidelberg J, Jeffries AC, Nelson KE, Eisen JA, Ketchum KA, Hood DW, Peden JF, Dodson RJ, et al., TITLE:Complete genome sequence of Neisseria meningitidis serogroup B strain MC58., JOURNAL:Science 287:1809-15 (2000)
243161	Chlamydia muridarum Nigg (Chlamydia trachomatis MoPn)	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia	Animal pathogen		Isolated from the lungs of symptomless mice in 1942.	AUTHORS:Read TD, Brunham RC, Shen C, Gill SR, Heidelberg JF, White O, Hickey EK, Peterson J, Utterback T, Berry K, et al., TITLE:Genome sequences of Chlamydia trachomatis MoPn and Chlamydia pneumoniae AR39., JOURNAL:Nucleic Acids Res 28:1397-406 (2000)
115711	Chlamydia pneumoniae AR39	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia	Human pathogen	Chlamydial pneumonia	Isolated from pharyngeal swab of a student with pharyngitis.	AUTHORS:Read TD, Brunham RC, Shen C, Gill SR, Heidelberg JF, White O, Hickey EK, Peterson J, Utterback T, Berry K, et al., TITLE:Genome sequences of Chlamydia trachomatis MoPn and Chlamydia pneumoniae AR39., JOURNAL:Nucleic Acids Res 28:1397-406 (2000)
7227	Drosophila melanogaster (fruit fly)	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Diptera; Brachycera; Muscomorpha; Ephydroidea; Drosophilidae; Drosophila; Sophophora				AUTHORS:Adams MD, Celniker SE, Holt RA, Evans CA, Gocayne JD, Amanatides PG, Scherer SE, Li PW, Hoskins RA, Galle RF, et al., TITLE:The genome sequence of Drosophila melanogaster., JOURNAL:Science 287:2185-95 (2000)
122587	Neisseria meningitidis Z2491 (serogroup A)	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae; Neisseria	Human pathogen	Meningococcal infection	Isolated during an epidemic of meningococcal meningitis in The Gambia in 1983.	AUTHORS:Parkhill J, Achtman M, James KD, Bentley SD, Churcher C, Klee SR, Morelli G, Basham D, Brown D, Chillingworth T, et al., TITLE:Complete DNA sequence of a serogroup A strain of Neisseria meningitidis Z2491., JOURNAL:Nature 404:502-6 (2000)
138677	Chlamydia pneumoniae J138	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia	Human pathogen	Chlamydial pneumonia	Isolated from pharyngeal mucosa of a 5-year-old boy with acute bronchitis in Japan in 1994.	AUTHORS:Shirai M, Hirakawa H, Kimoto M, Tabuchi M, Kishi F, Ouchi K, Shiba T, Ishii K, Hattori M, Kuhara S, Nakazawa T., TITLE:Comparison of whole genome sequences of Chlamydia pneumoniae J138 from Japan and CWL029 from USA., JOURNAL:Nucleic Acids Res 28:2311-4 (2000)
160492	Xylella fastidiosa 9a5c	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Xylella	Plant pathogen		Causes citrus variegated chlorosis, a serious disease of orange trees, which is transmitted by sharpshooter leafhoppers.	AUTHORS:Simpson AJ, Reinach FC, Arruda P, Abreu FA, Acencio M, Alvarenga R, Alves LM, Araya JE, Baia GS, Baptista CS, et al., TITLE:The genome sequence of the plant pathogen Xylella fastidiosa. The Xylella fastidiosa Consortium of the Organization for Nucleotide Sequencing and Analysis., JOURNAL:Nature 406:151-9 (2000)
243277	Vibrio cholerae O1 El Tor N16961	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio	Human pathogen	Cholera	Strain of the 7th pandemic isolated in Bangladesh in 1975.	AUTHORS:Heidelberg JF, Eisen JA, Nelson WC, Clayton RA, Gwinn ML, Dodson RJ, Haft DH, Hickey EK, Peterson JD, Umayam L, et al., TITLE:DNA sequence of both chromosomes of the cholera pathogen Vibrio cholerae., JOURNAL:Nature 406:477-83 (2000)
208964	Pseudomonas aeruginosa PAO1	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas	Human pathogen	Pseudomonas aeruginosa infection	The most widely used P. aeruginosa laboratory strain.; Opportunistic human pathogen.; Intrinsically resistant to antibiotics and disinfectants.	AUTHORS:Stover CK, Pham XQ, Erwin AL, Mizoguchi SD, Warrener P, Hickey MJ, Brinkman FS, Hufnagle WO, Kowalik DJ, Lagrou M, et al., TITLE:Complete genome sequence of Pseudomonas aeruginosa PAO1, an opportunistic pathogen., JOURNAL:Nature 406:959-64 (2000)
107806	Buchnera aphidicola APS, endosymbiont of Acyrthosiphon pisum (pea aphid)	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Erwiniaceae; Buchnera	Endosymbiont			AUTHORS:Shigenobu S, Watanabe H, Hattori M, Sakaki Y, Ishikawa H., TITLE:Genome sequence of the endocellular bacterial symbiont of aphids Buchnera sp. APS., JOURNAL:Nature 407:81-6 (2000)
273075	Thermoplasma acidophilum DSM 1728	Archaea; Euryarchaeota; Diaforarchaea group; Thermoplasmata; Thermoplasmatales; Thermoplasmataceae; Thermoplasma			Thermoacidophilic archaeon.; Species of the genus Thermoplasma do not possess a rigid cell wall, but are only delimited by a plasma membrane.; It thrives at 59 deg C and pH 2, which was isolated from self-heating coal refuse piles and solfatara fields.	AUTHORS:Ruepp A, Graml W, Santos-Martinez ML, Koretke KK, Volker C, Mewes HW, Frishman D, Stocker S, Lupas AN, Baumeister W., TITLE:The genome sequence of the thermoacidophilic scavenger Thermoplasma acidophilum., JOURNAL:Nature 407:508-13 (2000)
64091	Halobacterium salinarum NRC-1 (Halobacterium sp. NRC-1)	Archaea; Euryarchaeota; Stenosarchaea group; Halobacteria; Halobacteriales; Halobacteriaceae; Halobacterium			Extreme halophile, aerobic and mesophilic.	AUTHORS:Ng WV, Kennedy SP, Mahairas GG, Berquist B, Pan M, Shukla HD, Lasky SR, Baliga NS, Thorsson V, Sbrogna J, et al., TITLE:Genome sequence of Halobacterium species NRC-1., JOURNAL:Proc Natl Acad Sci U S A 97:12176-81 (2000)
272558	Bacillus halodurans C-125	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus			Alkaliphilic bacterium. Isolated in 1977.	AUTHORS:Takami H, Nakasone K, Takaki Y, Maeno G, Sasaki R, Masui N, Fuji F, Hirama C, Nakamura Y, Ogasawara N, et al., TITLE:Complete genome sequence of the alkaliphilic bacterium Bacillus halodurans and genomic sequence comparison with Bacillus subtilis., JOURNAL:Nucleic Acids Res 28:4317-31 (2000)
273119	Ureaplasma parvum serovar 3 ATCC 700970	Bacteria; Tenericutes; Mollicutes; Mycoplasmataceae; Ureaplasma	Human pathogen	Non-chlamydial non-gonococcal urethritis	A reference strain originally isolated from patients with nongonococcal urethritis.	AUTHORS:Glass JI, Lefkowitz EJ, Glass JS, Heiner CR, Chen EY, Cassell GH., TITLE:The complete sequence of the mucosal pathogen Ureaplasma urealyticum., JOURNAL:Nature 407:757-62 (2000)
3702	Arabidopsis thaliana (thale cress)	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis	Photosynthesis			REFERENCE:PMID:11130712 (chromosome 1), AUTHORS:Theologis A, Ecker JR, Palm CJ, Federspiel NA, Kaul S, White O, Alonso J, Altafi H, Araujo R, Bowman CL, et al., TITLE:Sequence and analysis of chromosome 1 of the plant Arabidopsis thaliana., JOURNAL:Nature 408:816-20 (2000)
273116	Thermoplasma volcanium GSS1	Archaea; Euryarchaeota; Diaforarchaea group; Thermoplasmata; Thermoplasmatales; Thermoplasmataceae; Thermoplasma			Possessing optimum growth temperature of 60 deg C.	AUTHORS:Kawashima T, Amano N, Koike H, Makino S, Higuchi S, Kawashima-Ohya Y, Watanabe K, Yamazaki M, Kanehori K, Kawamoto T, et al., TITLE:Archaeal adaptation to higher temperatures revealed by genomic sequence of Thermoplasma volcanium., JOURNAL:Proc Natl Acad Sci U S A 97:14257-62 (2000)
266835	Mesorhizobium japonicum MAFF 303099 (Mesorhizobium loti MAFF303099)	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Phyllobacteriaceae; Mesorhizobium	Plant endosymbiont		Symbiotic bacterium.; Forms determinant-type globular nodules.; Performs nitrogen-fixation on several Lotus species.	AUTHORS:Kaneko T, Nakamura Y, Sato S, Asamizu E, Kato T, Sasamoto S, Watanabe A, Idesawa K, Ishikawa A, Kawashima K, et al., TITLE:Complete genome structure of the nitrogen-fixing symbiotic bacterium Mesorhizobium loti., JOURNAL:DNA Res 7:331-8 (2000)
155864	Escherichia coli O157:H7 EDL933 (EHEC)	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	Human pathogen	Enterohemorrhagic Escherichia coli (EHEC) infection	Isolated from Michigan ground beef linked to the outbreak in 1982 involving contaminated hamburgers.	AUTHORS:Perna NT, Plunkett G 3rd, Burland V, Mau B, Glasner JD, Rose DJ, Mayhew GF, Evans PS, Gregor J, Kirkpatrick HA, et al., TITLE:Genome sequence of enterohaemorrhagic Escherichia coli O157:H7., JOURNAL:Nature 409:529-33 (2001)
272623	Lactococcus lactis subsp. lactis Il1403	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Lactococcus				AUTHORS:Bolotin A, Wincker P, Mauger S, Jaillon O, Malarme K, Weissenbach J, Ehrlich SD, Sorokin A., TITLE:The complete genome sequence of the lactic acid bacterium Lactococcus lactis ssp. lactis IL1403., JOURNAL:Genome Res 11:731-53 (2001)
272843	Pasteurella multocida subsp. multocida Pm70	Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Pasteurella	Animal pathogen, Human pathogen	Pasteurellosis	Avian isolate recovered from a case of fowl cholera in chickens.	AUTHORS:May BJ, Zhang Q, Li LL, Paustian ML, Whittam TS, Kapur V., TITLE:Complete genomic sequence of Pasteurella multocida, Pm70., JOURNAL:Proc Natl Acad Sci U S A 98:3460-5 (2001)
272631	Mycobacterium leprae TN	Bacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycobacterium	Human pathogen, Animal pathogen	Leprosy, Erythema nodosum leprosum	Isolated from an armadillo experimentally infected with M. leprae in biopsy material from a single lepromatous leprosy patient from Tamil Nadu, India.	AUTHORS:Cole ST, Eiglmeier K, Parkhill J, James KD, Thomson NR, Wheeler PR, Honore N, Garnier T, Churcher C, Harris D, et al., TITLE:Massive gene decay in the leprosy bacillus., JOURNAL:Nature 409:1007-11 (2001)
386585	Escherichia coli O157:H7 Sakai (EHEC)	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	Human pathogen	Enterohemorrhagic Escherichia coli (EHEC) infection	Isolated from the 1996 outbreak in primary schools of Sakai, Japan.	REFERENCE:PMID:11258796, AUTHORS:Hayashi T, Makino K, Ohnishi M, Kurokawa K, Ishii K, Yokoyama K, Han CG, Ohtsubo E, Nakayama K, Murata T, et al., TITLE:Complete genome sequence of enterohemorrhagic Escherichia coli O157:H7 and genomic comparison with a laboratory strain K-12., JOURNAL:DNA Res 8:11-22 (2001)
190650	Caulobacter vibrioides CB15 (Caulobacter crescentus CB15)	Bacteria; Proteobacteria; Alphaproteobacteria; Caulobacterales; Caulobacteraceae; Caulobacter			Free-living alpha-class proteobacterium	AUTHORS:Nierman WC, Feldblyum TV, Laub MT, Paulsen IT, Nelson KE, Eisen JA, Heidelberg JF, Alley MR, Ohta N, Maddock JR, et al., TITLE:Complete genome sequence of Caulobacter crescentus., JOURNAL:Proc Natl Acad Sci U S A 98:4136-41 (2001)
160490	Streptococcus pyogenes M1 GAS (serotype M1)	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus	Human pathogen	Streptococcal infection, Invasive streptococcal disease	GroupA streptococcus (GAS).; Originally isolated from a patient with a wound infection.	AUTHORS:Ferretti JJ, McShan WM, Ajdic D, Savic DJ, Savic G, Lyon K, Primeaux C, Sezate S, Suvorov AN, Kenton S, et al., TITLE:Complete genome sequence of an M1 strain of Streptococcus pyogenes., JOURNAL:Proc Natl Acad Sci U S A 98:4658-63 (2001)
158879	Staphylococcus aureus subsp. aureus N315, hospital-acquired methicillin-resistant, vancomycin-susceptible	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	Human pathogen	Methicillin-resistant Staphylococcal aureus (MRSA) infection	Isolated in 1982 from the pharyngeal smear of a Japanese patient.	AUTHORS:Kuroda M, Ohta T, Uchiyama I, Baba T, Yuzawa H, Kobayashi I, Cui L, Oguchi A, Aoki K, Nagai Y, et al., TITLE:Whole genome sequencing of meticillin-resistant Staphylococcus aureus., JOURNAL:Lancet 357:1225-40 (2001)
